update,win_rate,policy,value,entropy,pred,total,lr,eps,pool_size
1,0.5,0.3999176677316427,127.09187725186348,-1.5173144415020943,37.82221007347107,82.84178858995438,0.00029985499999999997,0,0
2,0.5,0.06870974018238485,1.7748723961412907,-2.032781735062599,14.55017602443695,8.210906118154526,0.00029970999999999996,8,0
3,0.5454545454545454,0.054910283419303596,0.3782175835222006,-2.173151358962059,7.417858958244324,3.931217074394226,0.00029956499999999996,11,0
4,0.5294117647058824,0.051080082543194294,0.47670830599963665,-2.180733844637871,4.046276941895485,2.2907653748989105,0.00029941999999999995,17,0
5,0.4583333333333333,0.042943901382386684,0.31348755303770304,-2.177798330783844,2.3559176698327065,1.3558685258030891,0.00029927499999999994,24,0
6,0.48148148148148145,0.026453437749296427,0.08301166782621294,-2.261450380086899,1.084640011191368,0.5876647792756557,0.00029912999999999994,27,0
7,0.4838709677419355,0.02453249489190057,0.10963959712535143,-2.265658900141716,0.694045003503561,0.40371820516884327,0.00029898499999999993,31,0
8,0.4857142857142857,0.059467123821377754,0.09628897765651345,-2.1694909781217575,0.2686643274500966,0.22024886775761843,0.0002988399999999999,35,0
9,0.5263157894736842,0.07355281640775502,0.03177993500139564,-2.272626504302025,0.09913202724419534,0.1162825315259397,0.0002986949999999999,38,0
10,0.5384615384615384,0.06292897101957351,0.014988421375164762,-2.2805770188570023,0.05793427862226963,0.07658455008640885,0.0002985499999999999,39,0
11,0.5116279069767442,0.027946383925154805,0.08860622299835086,-2.324975550174713,0.07426450704224408,0.08613199461251497,0.0002984049999999999,43,1
12,0.5111111111111111,0.01807211514096707,0.04255644790828228,-2.3326441943645477,0.04424575483426452,0.03814677515765652,0.0002982599999999999,45,1
13,0.5106382978723404,0.01045851269736886,0.04000914632342756,-2.2200816571712494,0.10879426752217114,0.062659403658472,0.0002981149999999999,47,1
14,0.5192307692307693,0.003757415368454531,0.07979509700089693,-2.2601545453071594,0.11116800084710121,0.07663741987198591,0.0002979699999999999,52,1
15,0.5357142857142857,0.012889496923889965,0.06459398078732193,-2.319723293185234,0.20423210924491286,0.12410530890338123,0.0002978249999999999,56,1
16,0.5344827586206896,0.010036685038357973,0.040444038924761117,-2.330169767141342,0.08311093761585653,0.04851247649639845,0.0002976799999999999,58,1
17,0.5423728813559322,0.009252371441107243,0.019789693353231996,-2.3725633323192596,0.06928836822044104,0.030065769504290074,0.00029753499999999987,59,1
18,0.5396825396825397,0.008288955548778176,0.07113462197594345,-2.355631485581398,0.02373355528106913,0.03216672956477851,0.00029738999999999986,63,1
19,0.5303030303030303,0.01591739198192954,0.058706904761493206,-2.3754614889621735,0.09691040427424014,0.06997143244370818,0.00029724499999999986,66,1
20,0.5352112676056338,0.010144196101464331,0.09396136179566383,-2.390251189470291,0.09320932568516582,0.07982702925801277,0.00029709999999999985,71,1
21,0.5540540540540541,-0.0012131986441090703,0.051312016788870096,-2.412353366613388,0.08295921562239528,0.041798883699811995,0.00029695499999999984,74,2
22,0.5657894736842105,0.006969134323298931,0.029954756260849535,-2.417962908744812,0.0428274713922292,0.01918061973992735,0.00029680999999999984,76,2
23,0.575,-0.006227574776858091,0.062197385588660836,-2.3658182471990585,0.04634195507969707,0.024383913085330278,0.00029666499999999983,80,2
24,0.5802469135802469,0.021701772726373747,0.015802253154106438,-2.395355448126793,0.028344114311039448,0.019821402267552912,0.0002965199999999998,81,2
25,0.5903614457831325,-0.003767782007344067,0.02765288029331714,-2.357301503419876,0.06138818652834743,0.017179736983962357,0.0002963749999999998,83,2
26,0.5977011494252874,0.00870817108079791,0.06192258629016578,-2.384097456932068,0.043437695247121155,0.03754733758978546,0.0002962299999999998,87,2
27,0.5934065934065934,0.014193248993251473,0.07855565706267953,-2.3944441378116608,0.01706514647230506,0.038059210462961346,0.0002960849999999998,91,2
28,0.5851063829787234,0.009032124828081578,0.04311819956637919,-2.329687684774399,0.0523181005846709,0.03345339873339981,0.0002959399999999998,94,2
29,0.59375,0.03508873353712261,0.030305607011541724,-2.3463833332061768,0.04761445883195847,0.05058493243996054,0.0002957949999999998,96,2
30,0.59375,0.027621074754279107,0.0036966020852560177,-2.3376119881868362,0.0231721707386896,0.017679341632174328,0.0002956499999999998,96,2
31,0.59,0.009256905876100063,0.07595831854268909,-2.299166291952133,0.01998947752872482,0.03423914156155661,0.0002955049999999998,100,3
32,0.6,0.0215610436280258,0.07671514875255525,-2.3976528495550156,0.02449103951221332,0.04818761011119932,0.0002953599999999998,104,3
33,0.6,0.011563817679416388,0.044362638727761805,-2.389012336730957,0.009721428214106709,0.01471572817536071,0.00029521499999999977,106,3
34,0.6,0.006052699405699968,0.019210063852369785,-2.4050348103046417,0.03516956733074039,0.009192167548462749,0.00029506999999999976,107,3
35,0.61,0.012735238298773766,0.02130309003405273,-2.3952776938676834,0.022344594995956868,0.010606304102111608,0.00029492499999999976,108,3
36,0.59,0.009743129659909755,0.0552955090533942,-2.36968395113945,0.01689571884344332,0.022141904235468246,0.00029477999999999975,111,3
37,0.59,0.006200255244038999,0.07315086666494608,-2.41015687584877,0.03265092254150659,0.03499958128668368,0.00029463499999999974,115,3
38,0.59,0.009177182975690812,0.003199242288246751,-2.422330155968666,0.008421084465226158,-0.009235954770701937,0.00029448999999999974,115,3
39,0.6,0.005882330471649766,0.021437627088744193,-2.426205277442932,0.019537738640792668,0.002107960870489478,0.00029434499999999973,116,3
40,0.6,0.009608002845197916,0.03792853991035372,-2.4298910200595856,0.017894349293783307,0.013220537803135812,0.0002941999999999997,118,3
41,0.61,0.01031814719317481,0.016503672377439216,-2.424199551343918,0.018266701401444152,0.003461339045315981,0.0002940549999999997,119,4
42,0.63,0.006630462070461363,0.03153193416073918,-2.4242630302906036,0.009454843631829135,0.0028812210948672146,0.0002939099999999997,121,4
43,0.63,0.005112675076816231,0.04302604775875807,-2.411211207509041,0.014356251325807534,0.009691713632491883,0.0002937649999999997,123,4
44,0.62,0.00348713161656633,0.05738178140018135,-2.3990107625722885,0.0038355181459337473,0.010105674271471798,0.0002936199999999997,126,4
45,0.63,0.0042433024500496686,0.041315251495689154,-2.417300298810005,0.04777560033835471,0.024615726142656058,0.0002934749999999997,129,4
46,0.63,0.004024923488032073,0.037594619556330144,-2.390631377696991,0.02206796209793538,0.009949901490472257,0.0002933299999999997,131,4
47,0.63,0.0058106714859604836,0.07890377170406282,-2.352752059698105,0.08217120781773701,0.06282064228435047,0.0002931849999999997,135,4
48,0.62,-0.001482029096223414,0.022180497995577753,-2.451384887099266,0.07349923090077937,0.02184398745885119,0.0002930399999999997,136,4
49,0.62,-0.007026019156910479,0.05255173472687602,-2.445123091340065,0.01857782047591172,0.004087527748197317,0.00029289499999999967,139,4
50,0.62,0.00810418021865189,0.05048768897540867,-2.4117784798145294,0.023780281626386568,0.02112038098857738,0.00029274999999999966,142,4
51,0.62,0.004856632032897323,0.041416040156036615,-2.412403166294098,0.009085210782359354,0.005983226423268206,0.00029260499999999966,144,5
52,0.62,0.0008555457461625338,0.03669838001951575,-2.391771122813225,0.010017272579716519,0.0002956608877866529,0.00029245999999999965,146,5
53,0.62,0.007561544654890895,0.03878899628762156,-2.416123390197754,0.014771035814192146,0.010180327109992504,0.00029231499999999964,148,5
54,0.62,0.003151010605506599,0.05720802349969745,-2.399693265557289,0.018059823021758348,0.016788001768873073,0.00029216999999999964,151,5
55,0.59,0.0015725350240245461,0.06716131279245019,-2.379919245839119,0.015889928967226297,0.019298963859910145,0.00029202499999999963,155,5
56,0.59,0.0034855599515140057,0.06583405914716423,-2.4000252187252045,0.009235016128513962,0.017019845938193612,0.0002918799999999996,158,5
57,0.59,0.006304282229393721,0.026512377662584186,-2.38743357360363,0.016867282218299806,0.004119776946026832,0.0002917349999999996,159,5
58,0.59,0.0049255379708483815,0.020927539677359164,-2.4450541734695435,0.008941635256633162,-0.004590415584971197,0.0002915899999999996,160,5
59,0.59,-0.0024962109746411443,0.04289102018810809,-2.432263895869255,0.04214013007003814,0.01569672569166869,0.0002914449999999996,162,5
60,0.58,-0.0030857567326165736,0.035247490857727826,-2.371821567416191,0.01153931303997524,-0.003410569843254052,0.0002912999999999996,164,5
61,0.59,0.009942651784513146,0.023583041795063764,-2.4527807384729385,0.02135867642937228,0.007885704224463552,0.0002911549999999996,165,5
62,0.6,-0.0025863046175800264,0.02021357382182032,-2.437370151281357,0.025348568859044462,-0.004178934497758746,0.0002910099999999996,166,5
63,0.61,0.0010403776541352272,0.021480628929566592,-2.430862158536911,0.008024005277547985,-0.008515926310792565,0.0002908649999999996,167,5
64,0.61,0.003493050520773977,0.03708427585661411,-2.422501266002655,0.01289233667193912,0.00425634476414416,0.0002907199999999996,170,5
65,0.61,0.005608111037872732,0.004781877622008324,-2.443409189581871,0.0114382243482396,-0.010715929442085326,0.00029057499999999957,170,5
66,0.61,0.0009125695796683431,0.04141703143250197,-2.4095725417137146,0.00548442800209159,0.00026757441082736477,0.00029042999999999956,172,5
67,0.61,0.004434619680978358,0.04610731126740575,-2.4290578216314316,0.020234835435985588,0.01331511529861018,0.00029028499999999956,176,5
68,0.61,0.001774775271769613,0.029927819850854576,-2.44268000125885,0.04084124753717333,0.012732508999761194,0.00029013999999999955,178,5
69,0.61,0.006706308340653777,0.03274176211562008,-2.4137026220560074,0.017424861900508404,0.007652594445971772,0.00028999499999999954,179,5
70,0.6,0.0019143951358273625,0.054127755807712674,-2.449741080403328,0.006648550450336188,0.007805138302501291,0.00028984999999999954,181,5
71,0.6,0.007271054084412754,0.04834071977529675,-2.431328922510147,0.035952901060227305,0.025104576227022335,0.00028970499999999953,184,5
