CynthAI_v2 self-play  |  3,783,427 params  |  device=cuda  |  3000 updates
 update    win%    policy     value   entropy      pred     total        lr  info  opp
Training:   0%|          | 1/3000 [00:53<44:26:06, 53.34s/updates, WR=33.3%  loss=26.818  lr=1.25e-05  opp=self  eps=6]wandb: WARNING Tried to log to step 1 that is less than the current step 4. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
      1   33.3%    0.0987    1.0311   -2.0024   41.1338   26.8180  1.25e-05  [53.1s  eps=6  pool=0  gn=9.227  cf=0.626  ev=-0.035  am=0.463  as=0.797  rd=0.4008  ia=0.35 aa=0.04 ma=0.08  ae=2.0594  ar=1.8510  rr=0.0036  opp=self]
     18  100.0%    0.0304    0.8413   -1.7877    2.4709    3.1807  2.25e-04  [64.0s  eps=723  pool=0  gn=3.134  cf=0.473  ev=0.154  am=1.475  as=0.751  rd=0.2625  ia=0.96 aa=0.88 ma=0.25  ae=1.3150  ar=1.8476  rr=0.0036  opp=ema]
     19   18.0%    0.0353    0.9909   -1.5839    1.9005    3.1447  2.37e-04  [125.0s  eps=837  pool=0  gn=3.745  cf=0.465  ev=0.006  am=-0.389  as=1.158  rd=0.2485  ia=0.97 aa=0.92 ma=0.26  ae=1.1965  ar=1.7695  rr=0.0040  opp=fo]
     20   85.0%    0.0248    0.9340   -1.7047    1.3399    2.6845  2.50e-04  [59.9s  eps=922  pool=0  gn=3.116  cf=0.467  ev=0.063  am=1.363  as=0.798  rd=0.2458  ia=0.98 aa=0.96 ma=0.31  ae=1.1522  ar=1.6939  rr=0.0044  opp=ema]
     21   22.0%    0.0249    0.9530   -1.5501    1.1908    2.6338  2.50e-04  [127.5s  eps=1046  pool=0  gn=3.069  cf=0.433  ev=0.042  am=-0.319  as=1.076  rd=0.2276  ia=0.98 aa=0.97 ma=0.31  ae=1.1298  ar=1.6815  rr=0.0044  opp=fo]
     22   90.0%    0.0239    0.9110   -1.5858    0.9722    2.4179  2.50e-04  [58.5s  eps=1133  pool=0  gn=3.234  cf=0.457  ev=0.085  am=1.480  as=0.752  rd=0.2453  ia=0.99 aa=0.98 ma=0.35  ae=1.1047  ar=1.6587  rr=0.0045  opp=ema]
     23   98.0%    0.0200    0.9194   -1.4771    0.8403    2.3521  2.50e-04  [60.1s  eps=1236  pool=0  gn=2.475  cf=0.426  ev=0.076  am=1.636  as=0.824  rd=0.2315  ia=0.99 aa=0.98 ma=0.37  ae=1.0938  ar=1.6660  rr=0.0045  opp=ema]
     24  100.0%    0.0185    0.8760   -1.4037    0.6908    2.1748  2.50e-04  [59.0s  eps=1339  pool=0  gn=2.766  cf=0.455  ev=0.120  am=1.687  as=0.796  rd=0.2485  ia=0.99 aa=0.99 ma=0.40  ae=1.0642  ar=1.6353  rr=0.0046  opp=ema]
     25   99.0%    0.0190    0.9534   -1.2095    0.6316    2.2954  2.50e-04  [59.9s  eps=1447  pool=0  gn=2.407  cf=0.388  ev=0.043  am=1.703  as=0.802  rd=0.2220  ia=0.99 aa=0.99 ma=0.41  ae=1.0288  ar=1.6492  rr=0.0046  opp=ema]
     26  100.0%    0.0336    0.9357   -1.0988    0.5427    2.2220  2.50e-04  [60.7s  eps=1551  pool=0  gn=2.686  cf=0.401  ev=0.059  am=1.678  as=0.758  rd=0.2395  ia=0.99 aa=0.99 ma=0.43  ae=0.9849  ar=1.6466  rr=0.0046  opp=ema]
     27   99.0%    0.0262    0.9105   -1.0922    0.4637    2.1173  2.50e-04  [59.0s  eps=1659  pool=0  gn=2.329  cf=0.389  ev=0.084  am=1.729  as=0.827  rd=0.2325  ia=1.00 aa=0.99 ma=0.46  ae=0.9628  ar=1.6353  rr=0.0046  opp=ema]
     28  100.0%    0.0288    0.9132   -0.9794    0.4155    2.0969  2.50e-04  [60.0s  eps=1763  pool=0  gn=2.840  cf=0.382  ev=0.082  am=1.673  as=0.776  rd=0.2329  ia=1.00 aa=1.00 ma=0.48  ae=0.9306  ar=1.6265  rr=0.0047  opp=ema]
     29  100.0%    0.0205    0.8591   -1.0396    0.3849    1.9618  2.50e-04  [59.3s  eps=1866  pool=0  gn=2.865  cf=0.350  ev=0.138  am=1.774  as=0.790  rd=0.2232  ia=1.00 aa=1.00 ma=0.48  ae=0.9352  ar=1.6403  rr=0.0046  opp=ema]
     30   44.0%    0.0344    0.9961   -1.1452    0.3745    2.2441  2.50e-04  [130.0s  eps=1993  pool=0  gn=3.376  cf=0.438  ev=-0.001  am=0.228  as=1.196  rd=0.2619  ia=1.00 aa=1.00 ma=0.49  ae=0.8643  ar=1.5709  rr=0.0050  opp=fo]
     31  100.0%    0.0212    0.9752   -0.9098    0.3205    2.1571  2.50e-04  [59.4s  eps=2100  pool=0  gn=2.462  cf=0.329  ev=0.020  am=1.787  as=0.724  rd=0.2092  ia=1.00 aa=1.00 ma=0.53  ae=0.8715  ar=1.6114  rr=0.0048  opp=ema]
     32   99.0%    0.0243    0.9665   -0.8921    0.3098    2.1364  2.50e-04  [60.4s  eps=2213  pool=0  gn=2.632  cf=0.347  ev=0.031  am=1.739  as=0.831  rd=0.2239  ia=1.00 aa=1.00 ma=0.52  ae=0.8888  ar=1.6261  rr=0.0047  opp=ema]
     33   40.0%    0.0359    0.9662   -1.0263    0.3275    2.1581  2.50e-04  [129.8s  eps=2338  pool=0  gn=2.999  cf=0.429  ev=0.030  am=-0.052  as=1.127  rd=0.2760  ia=1.00 aa=1.00 ma=0.53  ae=0.8381  ar=1.5931  rr=0.0049  opp=fo]
     34   37.0%    0.0344    0.9657   -1.1068    0.2916    2.1344  2.50e-04  [130.3s  eps=2465  pool=0  gn=2.794  cf=0.420  ev=0.030  am=-0.078  as=1.117  rd=0.2542  ia=1.00 aa=1.00 ma=0.54  ae=0.7896  ar=1.5908  rr=0.0049  opp=fo]
     35   39.0%    0.0263    0.9464   -1.1829    0.2821    2.0818  2.50e-04  [128.3s  eps=2589  pool=0  gn=2.345  cf=0.402  ev=0.050  am=-0.030  as=1.142  rd=0.2333  ia=1.00 aa=1.00 ma=0.55  ae=0.7901  ar=1.5924  rr=0.0049  opp=fo]
     36  100.0%    0.0198    0.9584   -0.9235    0.2606    2.0871  2.50e-04  [59.8s  eps=2701  pool=0  gn=2.461  cf=0.340  ev=0.041  am=1.737  as=0.861  rd=0.2198  ia=1.00 aa=1.00 ma=0.56  ae=0.7873  ar=1.6181  rr=0.0047  opp=ema]
     37   47.0%    0.0394    0.9808   -0.9933    0.2643    2.1532  2.50e-04  [130.6s  eps=2826  pool=0  gn=2.709  cf=0.410  ev=0.014  am=0.048  as=1.152  rd=0.2649  ia=1.00 aa=1.00 ma=0.56  ae=0.7932  ar=1.6529  rr=0.0046  opp=fo]
     38  100.0%    0.0293    0.9763   -0.7556    0.2431    2.1224  2.50e-04  [59.7s  eps=2942  pool=0  gn=1.979  cf=0.326  ev=0.020  am=1.796  as=0.847  rd=0.2243  ia=1.00 aa=1.00 ma=0.59  ae=0.7706  ar=1.6563  rr=0.0045  opp=ema]
     39  100.0%    0.0272    0.9556   -0.7494    0.2427    2.0791  2.50e-04  [61.3s  eps=3062  pool=0  gn=2.069  cf=0.319  ev=0.042  am=1.869  as=0.816  rd=0.2233  ia=1.00 aa=1.00 ma=0.60  ae=0.7513  ar=1.6206  rr=0.0047  opp=ema]
     40  100.0%    0.0250    0.9122   -0.7950    0.2349    1.9853  2.50e-04  [60.2s  eps=3184  pool=0  gn=2.353  cf=0.316  ev=0.084  am=1.893  as=0.826  rd=0.2176  ia=1.00 aa=1.00 ma=0.60  ae=0.7487  ar=1.6131  rr=0.0048  opp=ema]
     41  100.0%    0.0183    0.9220   -0.6903    0.2184    1.9882  2.50e-04  [60.0s  eps=3302  pool=0  gn=2.876  cf=0.284  ev=0.071  am=1.855  as=0.867  rd=0.1934  ia=1.00 aa=1.00 ma=0.61  ae=0.7707  ar=1.6289  rr=0.0047  opp=ema]
     42   54.0%    0.0446    0.9787   -0.7608    0.2317    2.1361  2.50e-04  [129.9s  eps=3431  pool=0  gn=2.618  cf=0.333  ev=0.017  am=0.349  as=1.251  rd=0.2640  ia=1.00 aa=1.00 ma=0.60  ae=0.7477  ar=1.5989  rr=0.0048  opp=fo]
